Lamda,Hidden Units,Traning Set Accuracy,Validation Set Accuracy,Test Set Accuracy,Time Taken in Seconds
0,80,95.586%,94.87%,95.13000000000001%,73.38084101676941
5,80,95.724%,94.73%,95.32000000000001%,51.61284112930298
10,80,95.38600000000001%,94.69999999999999%,95.17999999999999%,51.707406997680664
15,80,95.114%,95.1%,94.98%,51.02123999595642
20,80,95.02000000000001%,94.24%,94.69%,50.45037913322449
25,80,94.774%,94.05%,94.38%,54.73166489601135
30,80,95.106%,94.14%,94.91000000000001%,70.28536915779114
35,80,94.638%,93.8%,94.53%,58.4399311542511
40,80,94.75%,94.08%,94.62%,55.63464593887329
45,80,94.446%,93.83%,94.14%,48.31810402870178
50,80,94.282%,93.84%,94.19999999999999%,49.0336172580719
55,80,93.934%,93.54%,93.85%,52.8201060295105
60,80,93.398%,93.08999999999999%,93.45%,53.82129096984863
65,80,93.63%,93.58%,93.76%,53.50461959838867
70,80,93.664%,93.34%,93.74%,51.045706033706665
